age,mins_exercise,bp
38,63.266592569973774,130.81608271212767
68,31.857266223256484,145.53563361501364
45,54.78564771354342,127.48303868425177
73,33.84301142007229,121.37435087584488
77,21.871145071703662,136.7082109005401
23,84.5823530221477,107.2940699724463
52,40.25623597884889,134.4448429983072
74,28.923068748180345,131.41341865844257
54,46.619271219223066,141.6546008002843
48,53.079707843719866,118.3812871334948
78,23.89819741379941,154.79067198368998
48,49.48838273445349,108.26234490000901
61,37.3339630816529,111.59767132862831
55,39.90712308446456,176.11559902413606
27,67.64104386762212,107.24713617759352
74,27.51764320702129,141.47341387311073
35,67.24104889314714,127.04854511050773
23,77.26502113365252,104.24329061436885
40,64.61133733939869,127.75293066470414
78,32.25042342813572,144.5344679107763
74,23.544844169717322,133.7692923853746
62,26.454155621795937,131.97939550287973
59,46.02869262231128,128.98899119392303
80,16.453996187088038,171.92677848524272
60,36.55995691766321,118.87995855590758
63,42.127856848483496,115.06005599388004
53,45.57613496474495,127.06682598756618
56,37.89641143872732,132.65721124164705
38,62.90651739874575,125.54785218365275
29,70.30554318780477,107.62452000933341
78,22.028820929499435,123.05010799043214
75,26.92640200563165,156.44777764134236
62,36.14669984103795,125.75524418069668
68,35.22188274259416,121.01730706019939
22,76.89756719090624,107.45580646588355
49,52.65890981957848,121.54236158477171
66,39.48419506574674,149.6488043457046
33,69.17590745416902,117.77105938295794
40,58.37034207234387,131.31080677776782
34,71.74403809225547,109.51061974241608
29,75.9675192798106,117.71667964372402
45,57.74198479754035,117.62971132763748
45,56.1936586755572,123.91875292260357
43,53.86046961980314,108.06954963033688
30,76.80326224265004,95.33797700008043
29,67.99870206426436,144.4582007712195
34,76.93666496508288,126.01063235508626
48,59.663053130925945,105.23092957562584
36,62.821498204497615,108.83251124979368
72,22.867895498466098,118.21779873104035
23,73.4479671815035,144.4821552332558
47,54.28441854578265,143.18619464650266
68,30.766540607688132,130.0228241495547
28,70.26228700301134,122.14791088848135
54,41.241907163674924,120.7849007812171
33,66.7748613759554,109.35629658076633
28,68.07547765271462,102.17095743224635
66,25.660290317059317,124.08074098810734
74,24.09886739856119,161.76361201005034
43,61.59498304530383,120.68957812371839
60,37.123265186958044,131.78867854641376
26,77.03982161112516,116.65531144398638
44,47.91058645855418,140.48713817728006
37,62.7221901723773,110.7590425358283
69,33.59703601971731,119.61239274411943
47,54.50576681083357,148.63545398604785
69,31.528380970744717,127.88255174642072
69,27.796469958473118,123.6540104509019
68,27.751478269832088,115.45590321675061
47,47.87935604697543,104.22926416523305
66,34.58823298550063,124.3903978105302
58,37.26262692907599,138.26978725749794
63,34.54721278149666,148.14772208394578
21,77.71953903900877,121.11382530753382
49,60.21931002616104,119.04514054357121
34,62.74025049152271,117.89624906076901
43,58.176932861424284,110.93105304479894
57,43.38980424781855,117.74172757638985
42,53.190716829349356,134.2697574846538
27,72.643459569382,98.26611132094683
35,72.22275429211675,146.82940948238695
61,41.257520265396074,129.14520609051223
46,54.2061646099647,126.21808239943825
68,29.887515838301876,122.9220844289064
27,62.73376389229742,104.88416965355096
47,58.65668606707088,103.74475801542137
80,12.69679964537589,137.2561191744091
74,29.699737554386672,143.28473607386695
74,35.54551784608742,141.8645651624207
31,61.780534195141,103.77695269417873
28,75.50892167687356,102.17067043718998
60,38.68901255298766,122.46701922485708
41,51.13927920427256,142.94091004769527
60,32.426661731091244,112.94044569001383
40,51.99231913212704,117.31422608429702
32,65.34546738914848,144.53542732518392
67,25.6912220750205,131.98537672006788
26,77.43958386487914,92.6023894426791
49,61.50054470262836,114.52845847088906
51,42.56484761982411,132.78189968357316
