food,n_offspring
1.9673367193900049,4
8.885331952478737,7
3.6687183775939047,3
3.468951534014195,4
5.3475099336355925,5
5.3720639063976705,5
7.247544548008591,7
8.3773248991929,7
8.88371144188568,14
1.687649148516357,8
6.208485092502087,4
4.045170969329774,2
0.4648474510759115,4
6.76445780089125,5
1.3079608627595007,3
3.296997749712318,1
6.581918529700488,6
3.4828191134147346,0
7.1319360309280455,2
9.353134259581566,14
1.0369553719647229,0
9.862735434435308,13
0.6136401067487895,3
9.85578351188451,4
7.6604448282159865,6
5.781010778155178,2
8.192752464674413,8
2.7924415888264775,0
0.4661520547233522,3
4.08017213223502,4
2.525311268400401,5
9.370916963089257,8
6.837815211620182,7
4.203626208472997,3
4.876360336784273,4
5.608982774429023,6
3.5868069250136614,7
5.197356874123216,4
1.2652095058001578,4
7.621244189795107,5
0.5840642144903541,5
4.248994125518948,4
8.696370725519955,6
2.4069204600527883,1
4.530330644920468,3
4.067620635032654,2
6.580587576609105,5
7.5190957938320935,10
7.354353831615299,11
8.442646421026438,11
6.619162342976779,5
9.907716268207878,11
6.060972041450441,11
0.9414412174373865,5
1.3206940866075456,3
0.9546782495453954,1
6.8126756977289915,3
6.941955864895135,7
7.874816153198481,7
1.8277431768365204,5
2.3213276569731534,0
4.777964549139142,4
2.9851104551926255,2
1.2954419874586165,4
4.703995925374329,3
7.045753395650536,7
4.4617097289301455,1
9.802671128418297,9
2.0057956920936704,3
6.224426869302988,9
3.4201379911974072,0
1.3426530943252146,1
7.005982326809317,7
6.098636973183602,3
5.026961066760123,4
1.7788623529486358,2
3.1213963660411537,0
2.3674239800311625,3
2.809053671080619,2
2.3877720371820033,5
4.69433467136696,4
3.3472685143351555,1
2.2983616357669234,3
5.605221539735794,7
8.921010333579034,10
9.520199538674206,11
0.3855672315694392,2
8.754906123504043,9
1.43926324788481,1
4.485318083316088,1
